13026
1: 6767, 7746, 13815, 14794, 7048
2: 978, 1921, 8904, 9847, 7926
3: 5303, 5933, 12716, 13346, 7413
4: 1921, 2330, 10516, 10925, 8595
5: 978, 1154, 10155, 10331, 9177
6: 5797, 6767, 12845, 13815, 7048
7: 10236, 10327, 17887, 17978, 7651
8: 6402, 7309, 15300, 16207, 8898
9: 12094, 13026, 19142, 20074, 7048
10: 10630, 10690, 19082, 19142, 8452
11: 3283, 3877, 10331, 10925, 7048
12: 1839, 2799, 8887, 9847, 7048
13: 10655, 11352, 17703, 18400, 7048
14: 11352, 12094, 18400, 19142, 7048
15: 7746, 8171, 14794, 15219, 7048
16: 4286, 4866, 11745, 12325, 7459
17: 8864, 9094, 16994, 17224, 8130
18: 8864, 9118, 15953, 16207, 7089
19: 415, 978, 7463, 8026, 7048
20: 10327, 11104, 19297, 20074, 8970
21: 2799, 3283, 9847, 10331, 7048
22: 10630, 11052, 17978, 18400, 7348
23: 5277, 5303, 12690, 12716, 7413
24: 9159, 9219, 17224, 17284, 8065
25: 5933, 6037, 15115, 15219, 9182
26: 8519, 8864, 15567, 15912, 7048
27: 10236, 10655, 17284, 17703, 7048
28: 4848, 5277, 11896, 12325, 7048
29: 9841, 10236, 16889, 17284, 7048
30: 10236, 10630, 17584, 17978, 7348
31: 5933, 6402, 13346, 13815, 7413
32: 3877, 4286, 11336, 11745, 7459
33: 978, 1839, 8026, 8887, 7048
34: 3877, 4819, 10925, 11867, 7048
35: 9159, 9841, 16207, 16889, 7048
36: 5277, 5797, 12325, 12845, 7048
37: 10236, 10343, 18293, 18400, 8057
38: 4819, 4848, 11867, 11896, 7048
39: 0, 415, 7048, 7463, 7048
40: 8864, 9159, 15912, 16207, 7048
41: 8171, 8519, 15219, 15567, 7048
